Goodreads Id,Title,ISBN,ISBN13,Read At,Average Rating,Rating,Categories,Genre,Word Count,Author
31138556,Homo Deus: A Brief History of Tomorrow,771038682,9780771038686,Sun Dec 31 15:57:10 -0800 2017,4.32,5,"['Science / Physics / Astrophysics', 'Science / Space Science']",narrative nonfiction,118233,Yuval Noah Harari
28862528,"Saga, Vol. 6 (Saga, #6)",163215711X,9781632157119,Fri Dec 29 00:00:00 -0800 2017,4.49,5,,comics/graphic novel,21432,Brian K. Vaughan
25451555,"Saga, Vol. 5 (Saga, #5)",1632154382,9781632154385,Fri Dec 29 00:00:00 -0800 2017,4.43,5,,comics/graphic novel,21432,Brian K. Vaughan
23093367,"Saga, Vol. 4 (Saga, #4)",1632150778,9781632150776,Fri Dec 29 00:00:00 -0800 2017,4.47,5,['Comics & Graphic Novels / Science Fiction'],comics/graphic novel,21432,Brian K. Vaughan
19358975,"Saga, Vol. 3 (Saga, #3)",1607069318,9781607069317,Fri Dec 29 00:00:00 -0800 2017,4.55,5,"['COMICS & GRAPHIC NOVELS / Erotica', 'Comics & Graphic Novels / Science Fiction', 'COMICS & GRAPHIC NOVELS / Romance', 'Comics & Graphic Novels / Literary']",comics/graphic novel,20304,Brian K. Vaughan
17131869,"Saga, Vol. 2 (Saga, #2)",1607066920,9781607066927,Fri Dec 29 00:00:00 -0800 2017,4.56,5,['Comics & Graphic Novels / Science Fiction'],comics/graphic novel,20304,Brian K. Vaughan
25899336,When Breath Becomes Air,081298840X,9780812988406,Fri Dec 15 00:00:00 -0800 2017,4.33,5,"['Biography & Autobiography / Medical', 'Biography & Autobiography / Personal Memoirs', 'MEDICAL / General', 'Social Science / Death & Dying']",memoir,65232,Paul Kalanithi
15704307,"Saga, Vol. 1 (Saga, #1)",1607066017,9781607066019,Fri Dec 22 00:00:00 -0800 2017,4.24,5,['Comics & Graphic Novels / Science Fiction'],comics/graphic novel,22560,Brian K. Vaughan
5439,Interpreter of Maladies,618101365,9780618101368,Fri Dec 15 00:00:00 -0800 2017,4.13,3,"['Fiction / Literary', 'Fiction / Short Stories (single author)', 'Fiction / Asian American', 'Fiction / Cultural Heritage', 'Social Science / Emigration & Immigration', 'Social Science / Customs & Traditions']",short story,48906,Jhumpa Lahiri
34928122,Artemis,553448129,9780553448122,Tue Dec 12 00:00:00 -0800 2017,3.73,4,"['Fiction / Science Fiction / Action & Adventure', 'Fiction / Science Fiction / Hard Science Fiction', 'Fiction / Thrillers / Suspense']",science fiction,90585,Andy Weir
7945049,"Bury Your Dead (Chief Inspector Armand Gamache, #6)",312377045,9780312377045,Wed Nov 29 00:00:00 -0800 2017,4.34,4,"['Fiction / Crime', 'Fiction / Mystery & Detective / General']",mystery,103138,Louise Penny
1617,Night (The Night Trilogy #1),374500010,9780374500016,Tue Nov 21 00:00:00 -0800 2017,4.30,4,['RELIGION / Christianity / Catholic'],memoir,30840,Elie Wiesel
3636,"The Giver (The Giver, #1)",385732554,9780385732550,Mon Dec 04 00:00:00 -0800 2017,4.12,5,,science fiction,53040,Lois Lowry
341735,Replay,068816112X,9780688161125,Wed Nov 15 00:00:00 -0800 2017,4.16,5,['Fiction / General'],science fiction,97343,Ken Grimwood
35560100,A Study in Scarlet: Sherlock Holmes #1,140439080,9780140439083,Mon Nov 13 00:00:00 -0800 2017,3.82,4,['Fiction / Classics'],mystery,28992,Arthur Conan Doyle
10569,On Writing: A Memoir of the Craft,743455967,9780743455961,Sat Nov 11 00:00:00 -0800 2017,4.31,5,"['Language Arts & Disciplines / Composition & Creative Writing', 'Biography & Autobiography / Personal Memoirs', 'Language Arts & Disciplines / General']",memoir,75840,Stephen King
38447,The Handmaid's Tale,038549081X,9780385490818,Thu Nov 02 00:00:00 -0700 2017,4.07,4,['Fiction / Literary'],science fiction,98969,Margaret Atwood
297673,The Brief Wondrous Life of Oscar Wao,1594489580,9781594489587,Thu Nov 02 00:00:00 -0700 2017,3.89,4,['Fiction / Literary'],literary fiction,79395,Junot Díaz
17245,Dracula,393970124,9780393970128,Sun Oct 29 00:00:00 -0700 2017,3.98,4,"['Fiction / Classics', 'Fiction / Horror']",horror,138104,Bram Stoker
4406,East of Eden,142000655,9780142000656,Mon Dec 11 00:00:00 -0800 2017,4.35,4,"['Fiction / Classics', 'Fiction / Literary', 'Fiction / Sagas']",classic,181502,John Steinbeck
